,date,aapl,VCNIX,aapl_VCNIX_ratio,rolling_aapl_mean
69,2025-07-09,211.14,24.72,8.541262135922329,210.36666666666665
70,2025-07-10,212.41,24.68,8.606564019448946,211.18666666666664
71,2025-07-11,211.16,24.62,8.576766856214459,211.57000000000002
72,2025-07-14,208.62,24.7,8.446153846153846,210.73000000000002
73,2025-07-15,209.11,24.74,8.452303961196444,209.63
74,2025-07-16,210.16,24.76,8.487883683360257,209.2966666666667
75,2025-07-17,210.02,24.95,8.417635270541084,209.76333333333335
76,2025-07-18,211.18,24.93,8.470918572001604,210.45333333333335
77,2025-07-21,212.48,25.05,8.482235528942114,211.2266666666667
78,2025-07-22,214.4,24.93,8.600080224628961,212.6866666666667
79,2025-07-23,214.15,25.03,8.555733120255693,213.67666666666665
80,2025-07-24,213.76,25.1,8.51633466135458,214.10333333333332
81,2025-07-25,213.88,25.15,8.50417495029821,213.92999999999998
82,2025-07-28,214.05,25.24,8.480586370839937,213.89666666666668
83,2025-07-29,211.27,25.19,8.387058356490671,213.0666666666667
84,2025-07-30,209.05,25.23,8.285770907649624,211.45666666666668
85,2025-07-31,207.57,25.09,8.273017138302112,209.29666666666665
86,2025-08-01,202.38,24.6,8.226829268292683,206.33333333333334
87,2025-08-04,203.35,25.06,8.114525139664805,204.4333333333333
88,2025-08-05,202.92,24.88,8.155948553054662,202.88333333333333
89,2025-08-06,213.25,25.2,8.462301587301587,206.50666666666666
90,2025-08-07,220.03,25.28,8.703718354430379,212.0666666666667
91,2025-08-08,229.35,25.52,8.987068965517242,220.87666666666667
92,2025-08-11,227.18,25.43,8.933543059378687,225.52
93,2025-08-12,229.65,25.77,8.91152502910361,228.7266666666667
94,2025-08-13,233.33,25.78,9.050814584949574,230.0533333333333
95,2025-08-14,232.78,25.76,9.036490683229813,231.92
96,2025-08-15,231.59,25.63,9.035895435037066,232.5666666666667
97,2025-08-18,230.89,25.63,9.008583690987125,231.75333333333333
98,2025-08-19,230.56,25.28,9.120253164556962,231.01333333333332
99,2025-08-20,226.01,25.13,8.993633107839235,229.1533333333333
