date,aapl,IQQBDA
2025-03-28,217.9,11.68
2025-03-31,222.13,11.7
2025-04-01,223.19,11.77
2025-04-02,223.89,11.84
2025-04-03,203.19,11.25
2025-04-04,188.38,10.72
2025-04-07,181.46,10.57
2025-04-08,172.42,10.41
2025-04-09,198.85,11.58
2025-04-10,190.42,11.12
2025-04-11,198.15,11.3
2025-04-14,202.52,11.37
2025-04-15,202.14,11.41
2025-04-16,194.27,11.18
2025-04-17,196.98,11.18
2025-04-21,193.16,11.18
2025-04-22,199.74,10.87
