date,ticker,close
2025-03-28,BMI,190.21
2025-03-31,BMI,190.25
2025-04-01,BMI,192.67
2025-04-02,BMI,195.77
2025-04-03,BMI,184.92
2025-04-04,BMI,172.77
2025-04-07,BMI,172.87
2025-04-08,BMI,170.72
2025-04-09,BMI,184.69
2025-04-10,BMI,182.17
2025-04-11,BMI,183.5
2025-04-14,BMI,183.28
2025-04-15,BMI,185.81
2025-04-16,BMI,183.9
2025-04-17,BMI,201.63
2025-04-21,BMI,199.82
2025-04-22,BMI,208.53
2025-04-23,BMI,210.43
2025-04-24,BMI,217.48
2025-04-25,BMI,216.36
2025-04-28,BMI,215.78
2025-04-29,BMI,217.29
2025-04-30,BMI,220.82
2025-05-01,BMI,224.22
2025-05-02,BMI,229.64
2025-05-05,BMI,228.59
2025-05-06,BMI,224.3
2025-05-07,BMI,225.87
2025-05-08,BMI,229.26
2025-05-09,BMI,230.88
2025-05-12,BMI,235.45
2025-05-13,BMI,247.46
2025-05-14,BMI,241.59
2025-05-15,BMI,244.18
2025-05-16,BMI,244.97
2025-05-19,BMI,243.35
2025-05-20,BMI,247.24
2025-05-21,BMI,243.68
2025-05-22,BMI,243.67
2025-05-23,BMI,243.46
2025-05-27,BMI,249.81
2025-05-28,BMI,245.77
2025-05-29,BMI,248.48
2025-05-30,BMI,248.22
2025-06-02,BMI,251.74
2025-06-03,BMI,254.17
2025-06-04,BMI,249.06
2025-06-05,BMI,248.17
2025-06-06,BMI,246.9
2025-06-09,BMI,247.83
2025-06-10,BMI,247.47
2025-06-11,BMI,245.33
2025-06-12,BMI,244.63
2025-06-13,BMI,242.75
2025-06-16,BMI,243.45
2025-06-17,BMI,242.56
2025-06-18,BMI,241.64
2025-06-20,BMI,243.58
2025-06-23,BMI,246.59
2025-06-24,BMI,247.2
2025-06-25,BMI,242.39
2025-06-26,BMI,246.94
2025-06-27,BMI,246.06
2025-06-30,BMI,244.95
2025-07-01,BMI,240.58
2025-07-02,BMI,240.33
2025-07-03,BMI,242.62
2025-07-07,BMI,239.51
2025-07-08,BMI,237.96
2025-07-09,BMI,239.82
2025-07-10,BMI,239.69
2025-07-11,BMI,239.01
2025-07-14,BMI,239.38
2025-07-15,BMI,237.68
2025-07-16,BMI,240.91
2025-07-17,BMI,245.81
2025-07-18,BMI,244.37
2025-07-21,BMI,245.22
2025-07-22,BMI,204.8
2025-07-23,BMI,192.01
2025-07-24,BMI,189.82
2025-07-25,BMI,193.01
2025-07-28,BMI,192.58
2025-07-29,BMI,188.0
2025-07-30,BMI,191.3
2025-07-31,BMI,188.76
2025-08-01,BMI,181.3
2025-08-04,BMI,185.86
2025-08-05,BMI,184.23
2025-08-06,BMI,188.15
2025-08-07,BMI,188.82
2025-08-08,BMI,188.17
2025-08-11,BMI,188.87
2025-08-12,BMI,192.29
2025-08-13,BMI,193.09
2025-08-14,BMI,191.08
2025-08-15,BMI,186.82
2025-08-18,BMI,186.7
2025-08-19,BMI,187.66
2025-08-20,BMI,187.6
